date,venue,races,picks,hits,hit_rate%,p1_wins,run_at
2026/03/25,HV,9,36,3,8.3,1,2026-03-26 03:18
2026/03/25,HV,9,36,3,8.3,1,2026-03-26 03:23
2026/03/25,HV,9,36,20,55.6,3,2026-03-26 03:25
2026/04/06,ST,11,44,25,56.8,7,2026-04-07 04:43
2026/04/06,ST,11,44,25,56.8,7,2026-04-07 04:59
2026/04/06,ST,11,44,25,56.8,7,2026-04-07 05:01
2026/03/25,HV,9,36,20,55.6,3,2026-04-23 03:57
2026/03/25,HV,9,36,20,55.6,3,2026-04-28 06:37
2026/03/25,HV,9,36,20,55.6,3,2026-04-28 06:39
2026/04/26,ST,11,44,20,45.5,9,2026-04-28 06:49
2026/04/01,ST,9,36,18,50.0,6,2026-04-28 07:04
2026/04/08,HV,9,36,18,50.0,7,2026-04-28 07:05
2026/04/12,ST,11,44,24,54.5,7,2026-04-28 07:06
2026/04/15,HV,9,36,15,41.7,5,2026-04-28 07:07
2026/04/19,ST,11,44,19,43.2,6,2026-04-28 07:08
2026/04/22,HV,9,36,17,47.2,6,2026-04-28 07:09
